formatted_address,province,city,district,adcode,lng,lat,Name,keyword,lng_wgs84,lat_wgs84,height,location,Rate,备注
江苏省无锡市宜兴市竹海景区,江苏省,WX,宜兴市,320282,119.708041,31.1713,宜兴竹海景区,宜兴竹海,119.7030758,31.17340575,108,"119.708041,31.1713",4A,
江苏省无锡市宜兴市龙背山森林公园,江苏省,WX,宜兴市,320282,119.81621,31.32711,宜兴龙背山森林公园,龙背山,119.8113611,31.32918581,15,"119.81621,31.32711",4A,
江苏省无锡市宜兴市宜兴,江苏省,WX,宜兴市,320282,119.803849,31.370895,宜兴团氿风景区,团氿,119.7989607,31.37293439,0,"119.803849,31.370895",4A,
江苏省无锡市江阴市滨江要塞旅游区,江苏省,WX,江阴市,320281,120.277352,31.92613,江阴滨江要塞旅游区,滨江要塞,120.2727404,31.92809945,11,"120.277352,31.92613",4A,
江苏省常州市溧阳市南山竹海景区,江苏省,CZ,溧阳市,320481,119.524631,31.168802,溧阳市天目湖南山竹海景区,南山竹海,119.5196052,31.17095259,301,"119.524631,31.168802",5A,常州天目湖旅游区景点
江苏省南京市江宁区阳山碑材,江苏省,NJ,江宁区,320115,119.001861,32.06259,南京明文化村（阳山碑材）景区,明文化村,118.9966018,32.06461856,68,"119.001861,32.06259",4A,
江苏省徐州市云龙区徐州汉文化景区,江苏省,XZ,云龙区,320303,117.222457,34.24607,徐州汉文化景区,汉文化,117.2167345,34.2473533,39,"117.222457,34.24607",4A,
江苏省徐州市泉山区彭祖园,江苏省,XZ,泉山区,320311,117.187352,34.2405,徐州彭祖园景区,彭祖园,117.1815851,34.2417348,49,"117.187352,34.2405",4A,
江苏省苏州市虎丘区白马涧生态园,江苏省,SZ,虎丘区,320505,120.49602,31.29992,苏州白马涧生态园,白马涧,120.4915876,31.30191203,38,"120.49602,31.29992",4A,
江苏省苏州市常熟市方塔古迹名胜区,江苏省,SZ,常熟市,320581,120.749667,31.64546,常熟方塔古迹名胜区,常熟方塔,120.7452718,31.64739596,8,"120.749667,31.64546",4A,
江苏省淮安市盱眙县国家森林公园,江苏省,HA,盱眙县,320830,118.490492,32.73965,盱眙铁山寺国家森林公园,铁山寺,118.4851525,32.74159612,97,"118.490492,32.73965",4A,
江苏省盐城市大丰区大丰,江苏省,YC,大丰区,320904,120.815417,32.983929,大丰中华麋鹿园景区,麋鹿,120.8109881,32.98578434,4,"120.815417,32.983929",5A,
江苏省镇江市润州区镇江南山风景名胜区,江苏省,ZJ,润州区,321111,119.441435,32.171404,镇江南山风景名胜区,南山风景区,119.4360228,32.17330189,153,"119.441435,32.171404",4A,
江苏省常州市天宁区红梅公园,江苏省,CZ,天宁区,320402,119.973284,31.77464,常州红梅公园,红梅,119.9685388,31.7766772,12,"119.973284,31.77464",4A,
江苏省苏州市常熟市常熟服装城,江苏省,SZ,常熟市,320581,120.742587,31.6199,常熟服装城购物景区,服装城,120.738195,31.62183691,4,"120.742587,31.6199",4A,
江苏省南通市崇川区南通博物苑,江苏省,NT,崇川区,320602,120.870167,32.01129,南通博物苑,南通博物,120.8659287,32.01344802,5,"120.870167,32.01129",5A,
江苏省扬州市邗江区扬州博物馆,江苏省,YZ,邗江区,321003,119.372004,32.39144,扬州博物馆,扬州博物,119.3665319,32.39333626,6,"119.372004,32.39144",4A,
江苏省南京市栖霞区栖霞山风景名胜区管理处,江苏省,NJ,栖霞区,320113,118.953921,32.14872,南京栖霞山风景名胜区,栖霞山,118.9488144,32.1508984,10,"118.953921,32.14872",4A,
江苏省南京市玄武区梅园新村纪念馆,江苏省,NJ,玄武区,320102,118.80156,32.04226,南京梅园新村纪念馆,梅园新村,118.7963864,32.04433899,12,"118.80156,32.04226",4A,
江苏省无锡市梁溪区崇安寺景区,江苏省,WX,梁溪区,320213,120.301235,31.57687,无锡崇安寺景区,崇安寺,120.2966332,31.57876826,12,"120.301235,31.57687",4A,
江苏省无锡市宜兴市宜兴,江苏省,WX,宜兴市,320282,119.733346,31.184326,宜兴陶祖圣境景区,陶祖圣境,119.7283674,31.18639848,134,"119.733346,31.184326",4A,
江苏省徐州市泉山区汉画像石艺术馆,江苏省,XZ,泉山区,320311,117.177244,34.24104,徐州汉画像石艺术馆,汉画像石,117.1714595,34.24225604,44,"117.177244,34.24104",4A,
江苏省苏州市吴中区穹窿山风景区,江苏省,SZ,吴中区,320506,120.445841,31.26706,苏州穹窿山风景区,穹窿山,120.4412372,31.26893559,14,"120.445841,31.26706",5A,吴中太湖景区景点
江苏省苏州市昆山市千灯古镇,江苏省,SZ,昆山市,320583,121.002311,31.26548,昆山千灯古镇游览区,千灯,120.9979161,31.26748365,4,"121.002311,31.26548",4A,
江苏省南通市崇川区中国珠算博物馆,江苏省,NT,崇川区,320602,120.858292,32.0238,南通中国珠算博物馆,珠算,120.8540344,32.02594451,8,"120.858292,32.0238",5A,南通濠河景区景点
江苏省连云港市赣榆区抗日山风景区,江苏省,LYG,赣榆区,320707,118.862541,34.88722,连云港赣榆抗日山风景区,抗日山,118.857215,34.88814456,61,"118.862541,34.88722",NA,被撤销等级
江苏省淮安市淮安区周恩来故居,江苏省,HA,淮安区,320803,119.142588,33.50691,淮安周恩来故居,周恩来故居,119.1370098,33.50824479,8,"119.142588,33.50691",5A,淮安周恩来故里景区景点
江苏省泰州市海陵区凤城河风景区,江苏省,TZ,海陵区,321202,119.927837,32.4818,泰州凤城河风景区,凤城河,119.9230968,32.48401325,3,"119.927837,32.4818",4A,
江苏省无锡市滨湖区横山风景区,江苏省,WX,滨湖区,320211,120.22506,31.55645,无锡梅园横山风景区,梅园横山,120.2204442,31.55838493,22,"120.22506,31.55645",4A,
江苏省常州市新北区常州博物馆,江苏省,CZ,新北区,320411,119.974065,31.80829,常州市博物馆,常州市博物,119.9693151,31.81033035,6,"119.974065,31.80829",4A,
江苏省苏州市吴中区东山景区,江苏省,SZ,吴中区,320506,120.385813,31.07915,苏州东山景区,东山,120.3811511,31.08108436,174,"120.385813,31.07915",5A,吴中太湖旅游区景点
江苏省淮安市盱眙县盱眙明祖陵,江苏省,HA,盱眙县,320830,118.47684,33.08461,盱眙明祖陵,明祖陵,118.4714174,33.08629422,11,"118.47684,33.08461",NA,被撤销等级
江苏省宿迁市宿城区雪枫公园,江苏省,SQ,宿城区,321302,118.298837,33.97731,宿迁雪枫公园,雪枫,118.2933032,33.97862378,25,"118.298837,33.97731",4A,
江苏省徐州市邳州市艾山村,江苏省,XZ,邳州市,320382,117.97468,34.512411,邳州艾山九龙景区,艾山,117.9690783,34.51362287,114,"117.97468,34.512411",4A,
江苏省连云港市东海县珠宝城公寓,江苏省,LYG,东海县,320722,118.787296,34.52956,连云港市东海县国际水晶珠宝城,国际水晶,118.7818578,34.53069575,30,"118.787296,34.52956",NA,被撤销等级
江苏省淮安市清江浦区淮安市博物馆,江苏省,HA,清江浦区,320812,119.012706,33.611175,淮安市博物馆,淮安市博物,119.0072579,33.61257727,19,"119.012706,33.611175",4A,
江苏省淮安市盱眙县第一山,江苏省,HA,盱眙县,320830,118.498761,33.01635,盱眙第一山景区,第一山,118.493426,33.01814667,83,"118.498761,33.01635",4A,
江苏省盐城市,江苏省,YC,list(),320900,120.172059,33.35849,盐城海盐历史文化风景区,海盐,120.1671412,33.35993807,2,"120.172059,33.35849",4A,
江苏省盐城市盐都区大纵湖旅游景区,江苏省,YC,盐都区,320903,119.823982,33.1779,盐城大纵湖旅游景区,大纵湖,119.8189884,33.17965092,5,"119.823982,33.1779",4A,
江苏省扬州市邗江区京华城,江苏省,YZ,邗江区,321003,119.374424,32.385687,扬州京华城休闲旅游区,京华城,119.3689498,32.38758083,7,"119.374424,32.385687",4A,
江苏省镇江市京口区北固山风景区,江苏省,ZJ,京口区,321102,119.456345,32.21477,镇江北固山风景区,北固山,119.450969,32.21670393,10,"119.456345,32.21477",5A,镇江金山.焦山.北固山景区景点
江苏省宿迁市泗洪县湿地公园,江苏省,SQ,泗洪县,321324,118.318582,33.2373,泗洪洪泽湖湿地公园,洪泽湖,118.3130883,33.23887301,12,"118.318582,33.2373",4A,
江苏省苏州市姑苏区苏州园林,江苏省,SZ,姑苏区,320508,120.629029,31.32416,苏州园林(拙政园、虎丘、留园）,苏州园林,120.6248407,31.32631837,12,"120.629029,31.32416",5A,
江苏省苏州市吴中区旺山景区,江苏省,SZ,吴中区,320506,120.542009,31.21835,苏州市旺山景区,旺山,120.5377502,31.22050567,90,"120.542009,31.21835",5A,吴中太湖旅游区景点
江苏省南京市建邺区侵华日军南京大屠杀遇难同胞纪念馆,江苏省,NJ,建邺区,320105,118.742372,32.03521,侵华日军南京大屠杀遇难同胞纪念馆,大屠杀,118.7371501,32.03724323,9,"118.742372,32.03521",4A,
江苏省南京市雨花台区南京科技馆,江苏省,NJ,雨花台区,320114,118.784854,31.98639,南京科技馆,南京科技馆,118.7796587,31.9884324,33,"118.784854,31.98639",4A,
江苏省无锡市梁溪区东林书院,江苏省,WX,梁溪区,320213,120.30854,31.57692,无锡东林书院,东林,120.3039287,31.57880579,6,"120.30854,31.57692",4A,
江苏省常州市钟楼区青枫公园,江苏省,CZ,钟楼区,320404,119.898969,31.79728,常州青枫公园,青枫,119.8942811,31.79942863,7,"119.898969,31.79728",4A,
